Word,Length,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF
analogize,9,18,2.89,NULL,NULL
analogized,10,26,3.26,NULL,NULL
analogizes,10,2,0.69,NULL,NULL
analogizing,11,9,2.2,NULL,NULL
analogously,11,90,4.5,NULL,NULL
analogue,8,1260,7.14,0.1,0.78
analogues,9,188,5.24,0.06,0.6
analyse,7,927,6.83,0.88,1.66
analysing,9,441,6.09,0.37,1.3
ANALYTICITY,11,1,0,NULL,NULL
ANALYTROL,9,0,0,NULL,NULL
ANANIA,6,1,0,NULL,NULL
anapaest,8,0,0,NULL,NULL
anapaestic,10,0,0,NULL,NULL
anapaests,9,0,0,NULL,NULL
ANAPLASMOSIS,12,16,2.77,NULL,NULL
anarchically,12,0,0,NULL,NULL
anarchistic,11,103,4.63,0.02,0.3
anarchistically,15,0,0,NULL,NULL
anarchists,10,926,6.83,0.31,1.23
ANASTOMOSES,11,3,1.1,NULL,NULL
anathema,8,326,5.79,0.18,1
anathemas,9,8,2.08,NULL,NULL
ANASTOMOSIS,11,22,3.09,0.33,1.26
ANASTOMOTIC,11,0,0,NULL,NULL
anathematize,12,0,0,NULL,NULL
anathematized,13,4,1.39,NULL,NULL
anathematizes,13,0,0,NULL,NULL
anathematizing,14,0,0,NULL,NULL
ANATOLE,7,221,5.4,NULL,NULL
ANATOMICALS,11,0,0,NULL,NULL
anatomies,9,16,2.77,0.02,0.3
anatomist,9,90,4.5,0.06,0.6
anatomists,10,14,2.64,NULL,NULL
ANCEL,5,3,1.1,NULL,NULL
ancestress,10,6,1.79,NULL,NULL
ancestresses,12,2,0.69,NULL,NULL
ancestries,10,27,3.3,NULL,NULL
anchorages,10,40,3.69,NULL,NULL
anchoress,9,2,0.69,NULL,NULL
anchoresses,11,0,0,NULL,NULL
anchorite,9,0,0,NULL,NULL
anchorites,10,0,0,0.02,0.3
ANCHORITISM,11,0,0,NULL,NULL
anchormen,9,18,2.89,0.08,0.7
anchovies,9,192,5.26,0.98,1.71
ancillaries,11,3,1.1,NULL,NULL
ANCISTRODON,11,0,0,NULL,NULL
andantes,8,2,0.69,0.02,0.3
ANDERLINI,9,0,0,NULL,NULL
ANDERS,6,2311,7.75,1.57,1.91
ANDERSON,8,15861,9.67,14.71,2.88
ANDERSON'S,10,520,6.25,NULL,NULL
andiron,7,15,2.71,0.06,0.6
andirons,8,5,1.61,0.08,0.7
Andorra,7,193,5.26,NULL,NULL
Andorran,8,9,2.2,NULL,NULL
Andorrans,9,0,0,NULL,NULL
ANDREI,6,830,6.72,NULL,NULL
ANDREI'S,8,3,1.1,NULL,NULL
ANDRENA,7,0,0,NULL,NULL
ANDRENAS,8,0,0,NULL,NULL
ANDRES,6,988,6.9,NULL,NULL
ANDREWS,7,2947,7.99,NULL,NULL
ANDROFSKI,9,0,0,NULL,NULL
androgyne,9,9,2.2,NULL,NULL
androgynes,10,6,1.79,NULL,NULL
ANDROMACHE,10,5,1.61,0.1,0.78
ANDRUS,6,69,4.23,NULL,NULL
ANDRUSES,8,0,0,NULL,NULL
ANEMATED,8,0,0,NULL,NULL
'neath,6,0,0,NULL,NULL
're,3,0,0,NULL,NULL
'shun,5,0,0,NULL,NULL
'tis,4,0,0,NULL,NULL
'twas,5,0,0,NULL,NULL
'tween,6,0,0,NULL,NULL
'twere,6,0,0,NULL,NULL
'twill,6,0,0,NULL,NULL
'twixt,6,0,0,NULL,NULL
'twould,7,0,0,NULL,NULL
'un,3,0,0,NULL,NULL
've,3,0,0,NULL,NULL
a's,3,1836,7.52,NULL,NULL
AA,2,13782,9.53,1.71,1.94
AAAWWW,6,1,0,NULL,NULL
AAs,3,838,6.73,0.04,0.48
abaci,5,4,1.39,NULL,NULL
abacuses,8,8,2.08,0.02,0.3
abaft,5,13,2.56,0.04,0.48
abandons,8,182,5.2,0.27,1.18
ABARINGE,8,0,0,NULL,NULL
abased,6,6,1.79,NULL,NULL
abases,6,9,2.2,NULL,NULL
abashed,7,42,3.74,NULL,NULL
abashes,7,0,0,NULL,NULL
abashing,8,0,0,NULL,NULL
abasing,7,8,2.08,NULL,NULL
abatement,9,147,4.99,0.06,0.6
abates,6,21,3.04,0.04,0.48
abating,7,52,3.95,0.02,0.3
abattoir,8,55,4.01,0.14,0.9
abattoirs,9,25,3.22,NULL,NULL
ABATUNO,7,0,0,NULL,NULL
ABBAS,5,423,6.05,0.1,0.78
ABBAS'S,7,3,1.1,NULL,NULL
abbe,4,128,4.85,0.04,0.48
ABBERATIONS,11,39,3.66,NULL,NULL
abbes,5,1,0,NULL,NULL
abbesses,8,4,1.39,0.02,0.3
abbeys,6,18,2.89,NULL,NULL
ZHITZHAKLI,10,0,0,NULL,NULL
ZHOK,4,0,0,NULL,NULL
ZIEGFELD,8,22,3.09,NULL,NULL
ZIFFREN,7,0,0,NULL,NULL
ziggurat,8,42,3.74,0.37,1.3
ziggurats,9,14,2.64,NULL,NULL
ZIGGY,5,519,6.25,NULL,NULL
zigzagged,9,6,1.79,0.02,0.3
zigzags,7,16,2.77,0.06,0.6
Zimbabwean,10,48,3.87,NULL,NULL
Zimbabweans,11,22,3.09,NULL,NULL
ZIMMERMAN,9,1867,7.53,NULL,NULL
ZINMAN,6,11,2.4,NULL,NULL
zinnia,6,29,3.37,0.06,0.6
zinnias,7,9,2.2,0.18,1
Zionism,7,734,6.6,0.04,0.48
Zionist,7,837,6.73,0.12,0.85
Zionists,8,331,5.8,0.04,0.48
zippers,7,237,5.47,0.49,1.42
zippier,7,17,2.83,NULL,NULL
zippiest,8,1,0,NULL,NULL
zipping,7,361,5.89,0.43,1.36
zips,4,655,6.48,0.33,1.26
ZIRALDO,7,4,1.39,NULL,NULL
zircon,6,381,5.94,0.12,0.85
zircons,7,5,1.61,NULL,NULL
zither,6,50,3.91,0.14,0.9
zithers,7,12,2.48,NULL,NULL
zizz,4,0,0,NULL,NULL
zloty,5,9,2.2,0.04,0.48
zlotys,6,18,2.89,0.06,0.6
zodiacs,7,51,3.93,0.02,0.3
ZOE,3,532,6.28,NULL,NULL
zonal,5,73,4.29,0.02,0.3
zonked,6,26,3.26,0.25,1.15
ZOOEY,5,34,3.53,NULL,NULL
zoological,10,218,5.38,0.16,0.95
zoologists,10,52,3.95,0.06,0.6
zoomed,6,263,5.57,0.18,1
ZOOOOP,6,0,0,NULL,NULL
zoophyte,8,7,1.95,NULL,NULL
zoophytes,9,0,0,NULL,NULL
zoos,4,443,6.09,0.76,1.6
ZORRILLAS,9,0,0,NULL,NULL
ZOTE,4,6,1.79,NULL,NULL
Zouave,6,5,1.61,NULL,NULL
Zouaves,7,8,2.08,NULL,NULL
ZOUNDS,6,41,3.71,0.1,0.78
ZU,2,7064,8.86,NULL,NULL
ZUBKOVSKAYA,11,0,0,NULL,NULL
zucchinis,9,8,2.08,0.04,0.48
ZURCHER,7,33,3.5,NULL,NULL
ZWEI,4,594,6.39,NULL,NULL
ZWORYKIN,8,1,0,NULL,NULL
WOLFF,5,577,6.36,NULL,NULL
WOLFF'S,7,17,2.83,NULL,NULL
wolfhounds,10,43,3.76,NULL,NULL
wolfing,7,49,3.89,0.18,1
wolfish,7,50,3.91,0.04,0.48
WOLFISHLY,9,4,1.39,NULL,NULL
wolfram,7,600,6.4,4.88,2.4
wolfs,5,56,4.03,0.06,0.6
wolfsbane,9,94,4.54,0.25,1.15
WOLLMAN,7,56,4.03,NULL,NULL
WOLPE,5,11,2.4,NULL,NULL
WOLPE'S,7,0,0,NULL,NULL
WOLSTENHOLME,12,93,4.53,NULL,NULL
WOLVERTON,9,102,4.62,NULL,NULL
womanized,9,0,0,NULL,NULL
womanizers,10,4,1.39,0.12,0.85
womanizes,9,1,0,NULL,NULL
womanizing,10,120,4.79,0.06,0.6
womanlike,9,0,0,0.02,0.3
womanliness,11,1,0,NULL,NULL
wombats,7,215,5.37,0.16,0.95
wombs,5,105,4.65,0.06,0.6
wonderlands,11,3,1.1,NULL,NULL
wonderment,10,136,4.91,0.14,0.9
WONDUH,6,0,0,NULL,NULL
wonkier,7,0,0,NULL,NULL
wonkiest,8,0,0,NULL,NULL
wonky,5,183,5.21,0.14,0.9
wonted,6,10,2.3,0.02,0.3
WOODBERRY,9,9,2.2,NULL,NULL
woodblocks,10,2,0.69,NULL,NULL
WOODBURY'S,10,4,1.39,NULL,NULL
WOODCOCK'S,10,6,1.79,NULL,NULL
woodcocks,9,8,2.08,NULL,NULL
woodcrafts,10,3,1.1,NULL,NULL
woodcuts,8,78,4.36,NULL,NULL
woodenheaded,12,0,0,NULL,NULL
woodenly,8,7,1.95,NULL,NULL
woodenness,10,4,1.39,NULL,NULL
woodier,7,1,0,NULL,NULL
woodiest,8,0,0,NULL,NULL
WOODIN,6,36,3.58,NULL,NULL
woodlands,9,589,6.38,0.1,0.78
woodlice,8,9,2.2,NULL,NULL
woodlouse,9,1,0,NULL,NULL
WOODMAN'S,9,1,0,NULL,NULL
woodmen,7,42,3.74,0.08,0.7
woodpeckers,11,85,4.44,0.12,0.85
WOODRUFF,8,342,5.83,0.65,1.53
WOODRUFF'S,10,5,1.61,NULL,NULL
WOODS'S,7,2,0.69,NULL,NULL
woodsheds,9,3,1.1,NULL,NULL
woodsmen,8,16,2.77,0.14,0.9
WOODSMOKE,9,16,2.77,NULL,NULL
WOODWARDS,9,4,1.39,NULL,NULL
woodworms,9,1,0,NULL,NULL
wooer,5,13,2.56,0.02,0.3
wooers,6,0,0,0.02,0.3
woofer,6,511,6.24,0.2,1.04
woofers,7,300,5.7,0.08,0.7
wooing,6,111,4.71,0.71,1.57
woolgather,10,9,2.2,NULL,NULL
woolgathered,12,0,0,NULL,NULL
woolgathering,13,2,0.69,0.06,0.6
woolgathers,11,0,0,NULL,NULL
WOOLLCOTT,9,48,3.87,NULL,NULL
woollens,8,1,0,NULL,NULL
woollier,8,0,0,NULL,NULL
woollies,8,0,0,NULL,NULL
woolliest,9,0,0,NULL,NULL
woolliness,10,11,2.4,NULL,NULL
wools,5,60,4.09,0.08,0.7
woolsack,8,3,1.1,NULL,NULL
WOOMERA,7,16,2.77,NULL,NULL
WOONASQUATUCKET,15,2,0.69,NULL,NULL
WOOOOOSH,8,1,0,NULL,NULL
woos,4,38,3.64,0.1,0.78
woozier,7,1,0,NULL,NULL
wooziest,8,0,0,NULL,NULL
wop,3,152,5.02,1.73,1.95
wops,4,11,2.4,0.14,0.9
WORCESTERSHIRE,14,233,5.45,0.22,1.08
wordbook,8,7,1.95,NULL,NULL
wordbooks,9,0,0,NULL,NULL
wordier,7,7,1.95,NULL,NULL
wordiest,8,1,0,NULL,NULL
wordily,7,11,2.4,NULL,NULL
wordiness,9,19,2.94,NULL,NULL
wordlessly,10,94,4.54,0.04,0.48
wordlessness,12,0,0,NULL,NULL
workableness,12,0,0,NULL,NULL
workaday,8,79,4.37,0.12,0.85
workbags,8,0,0,NULL,NULL
workbaskets,11,1,0,NULL,NULL
workbenches,11,23,3.14,NULL,NULL
workbooks,9,136,4.91,0.1,0.78
workbox,7,1,0,0.02,0.3
workboxes,9,0,0,NULL,NULL
workdays,8,33,3.5,0.04,0.48
workhorses,10,29,3.37,NULL,NULL
workhouses,10,13,2.56,0.08,0.7
WORKIN,6,368,5.91,NULL,NULL
workmanlike,11,39,3.66,NULL,NULL
workrooms,9,1,0,NULL,NULL
worktables,10,2,0.69,NULL,NULL
worktop,7,8,2.08,NULL,NULL
worktops,8,1,0,0.02,0.3
WORLDERS,8,45,3.81,NULL,NULL
worldlier,9,1,0,NULL,NULL
worldliest,10,0,0,NULL,NULL
worldliness,11,31,3.43,0.06,0.6
wormiest,8,0,0,NULL,NULL
worming,7,121,4.8,0.16,0.95
WORRELL,7,206,5.33,NULL,NULL
WORRYIN,7,6,1.79,NULL,NULL
worryingly,10,19,2.94,NULL,NULL
worsening,9,281,5.64,0.18,1
worshipper,10,247,5.51,0.16,0.95
worships,8,331,5.8,1.33,1.84
worsting,8,0,0,NULL,NULL
worsts,6,5,1.61,NULL,NULL
worthier,8,32,3.47,0.1,0.78
worthies,8,45,3.81,0.06,0.6
worthily,8,23,3.14,0.06,0.6
worthiness,10,364,5.9,0.24,1.11
worthlessly,11,0,0,NULL,NULL
wotcher,7,0,0,NULL,NULL
WOULDA,6,323,5.78,NULL,NULL
woulds,6,9,2.2,NULL,NULL
wouldst,7,44,3.78,0.59,1.49
WOZZEK,6,0,0,NULL,NULL
WRAC,4,4,1.39,NULL,NULL
WRACKED,7,148,5,0.33,1.26
WRACKING,8,76,4.33,0.1,0.78
WRACs,5,0,0,NULL,NULL
WRAGGE,6,0,0,NULL,NULL
wraiths,7,193,5.26,0.2,1.04
wranglers,9,82,4.41,0.22,1.08
wrangles,8,38,3.64,NULL,NULL
wrangling,9,147,4.99,0.16,0.95
WRAPPIN,7,1,0,NULL,NULL
wrappings,9,48,3.87,0.12,0.85
wrathfully,10,0,0,NULL,NULL
WRATTEN,7,57,4.04,NULL,NULL
wreaked,7,92,4.52,0.1,0.78
wreaking,8,137,4.92,0.2,1.04
wreaks,6,79,4.37,0.12,0.85
wreathes,8,6,1.79,NULL,NULL
wreathing,9,3,1.1,0.02,0.3
wreckers,8,51,3.93,0.06,0.6
wrecks,6,442,6.09,1.14,1.77
wrens,5,32,3.47,0.02,0.3
wrested,7,78,4.36,0.02,0.3
wresting,8,55,4.01,0.02,0.3
wrestled,8,589,6.38,0.92,1.68
wrestlers,9,1053,6.96,0.73,1.58
wrests,6,9,2.2,0.02,0.3
wretchedly,10,21,3.04,0.04,0.48
wretches,8,103,4.63,0.29,1.2
wrier,5,9,2.2,NULL,NULL
wriest,6,0,0,NULL,NULL
wriggled,8,139,4.93,0.04,0.48
wriggler,8,9,2.2,NULL,NULL
wrigglers,9,11,2.4,NULL,NULL
wriggles,8,35,3.56,0.04,0.48
wriggling,9,234,5.46,0.24,1.11
WRIGHT'S,8,238,5.47,NULL,NULL
wrights,7,53,3.97,0.12,0.85
wringers,8,9,2.2,NULL,NULL
wringing,8,144,4.97,0.33,1.26
wrinklier,9,0,0,NULL,NULL
wrinkliest,10,0,0,NULL,NULL
wrinkling,9,85,4.44,0.14,0.9
wristbands,10,22,3.09,0.02,0.3
wristier,8,0,0,NULL,NULL
wristiest,9,0,0,NULL,NULL
wristlet,8,1,0,0.02,0.3
wristlets,9,5,1.61,NULL,NULL
wristwatches,12,11,2.4,0.1,0.78
wristy,6,12,2.48,NULL,NULL
writhes,7,42,3.74,0.02,0.3
wrongdoers,10,50,3.91,0.1,0.78
wrongdoings,11,110,4.7,0.16,0.95
wrongfully,10,197,5.28,0.49,1.42
wrongheaded,11,62,4.13,NULL,NULL
wrongheadedly,13,0,0,NULL,NULL
wrongheadedness,15,6,1.79,NULL,NULL
wronging,8,18,2.89,NULL,NULL
wroth,5,56,4.03,0.16,0.95
wrung,5,87,4.47,0.27,1.18
WU,2,3378,8.13,NULL,NULL
WUH,3,17,2.83,NULL,NULL
wurst,5,42,3.74,0.08,0.7
wursts,6,1,0,NULL,NULL
WUS,3,50,3.91,0.02,0.3
WUSTMAN,7,0,0,NULL,NULL
WYATT,5,1172,7.07,NULL,NULL
WYCKOFF,7,76,4.33,NULL,NULL
WYCLIFFE,8,51,3.93,NULL,NULL
WYCOFF,6,21,3.04,NULL,NULL
WYCOFF'S,8,0,0,NULL,NULL
WYCOMBE,7,204,5.32,NULL,NULL
WYLIE,5,1521,7.33,NULL,NULL
WYMAN,5,409,6.01,NULL,NULL
WYN,3,105,4.65,NULL,NULL
WYNN,4,696,6.55,2,2.01
WYNNE,5,276,5.62,0.08,0.7
WYNSTON,7,4,1.39,NULL,NULL
wyvern,6,951,6.86,0.04,0.48
wyverns,7,30,3.4,NULL,NULL
XENIA,5,138,4.93,0.41,1.34
xeroxed,7,194,5.27,0.24,1.11
xeroxes,7,65,4.17,0.04,0.48
xeroxing,8,45,3.81,0.06,0.6
Xmas,4,1490,7.31,0.25,1.15
XYDIS,5,1,0,NULL,NULL
XYLEM,5,28,3.33,0.06,0.6
y,1,174327,12.07,85.2,3.64
Y'ALL,5,4402,8.39,NULL,NULL
Y'KNOW,6,1581,7.37,NULL,NULL
Y'R,3,7,1.95,NULL,NULL
Y'RE,4,6,1.79,NULL,NULL
y's,3,344,5.84,NULL,NULL
YA,2,33016,10.4,150.27,3.88
yachted,7,0,0,NULL,NULL
YACHTEL,7,0,0,NULL,NULL
YACHTELS,8,0,0,NULL,NULL
yachtswoman,11,0,0,NULL,NULL
yachtswomen,11,0,0,NULL,NULL
